day	week	cnt
177	3	1844
178	4	1883
179	5	1531
180	6	1387
181	7	434
182	1	1459
183	2	1274
184	3	1258
185	4	1156
186	5	1046
187	6	783
188	1	1898
189	2	1525
190	3	176
191	4	1350
192	5	1647
193	6	754
194	1	1950
195	2	1380
196	3	1071
197	4	1325
198	5	367
199	6	14
200	1	1037
201	2	2184
202	3	1805
203	4	1487
204	5	1105
205	6	1340
206	1	1088
207	2	985
208	3	1949
209	4	1799
210	5	1924
211	6	1149
212	7	372
213	1	1363
214	2	1526
215	3	596
216	4	1324
217	5	1780
218	6	639
219	7	211
220	1	1427
221	2	1410
222	3	943
223	4	1603
224	5	526
225	6	1012
226	1	2028
227	2	1759
228	3	1539
229	4	1366
230	5	1435
231	6	890
232	1	733
233	2	886
234	3	2311
235	4	1191
236	5	267
237	7	1597
238	1	1279
239	2	1031
240	3	1158
241	4	947
242	5	1961
243	6	1762
244	7	1530
245	1	1524
246	3	765
247	5	221
248	6	221
249	7	221
250	2	1901
251	3	1086
252	4	1395
253	5	2185
254	6	1585
255	7	296
256	1	1594
257	2	1370
258	3	1263
259	4	1298
260	5	1604
261	6	1091
262	1	2072
263	2	1630
264	3	1003
265	4	1150
266	5	672
267	6	1398
268	1	2674
269	2	2281
270	3	1426
271	4	1263
272	5	1652
273	6	1402
274	1	671
275	2	1626
276	3	1842
277	4	1499
278	5	1711
279	6	980
280	1	1368
281	2	627
282	3	1286
283	4	1816
284	5	1877
285	6	1199
286	1	1179
287	2	1034
288	3	1399
289	4	841
290	5	1794
291	6	1671
292	7	181
293	1	1553
294	2	1811
295	3	1629
296	4	1329
297	5	812
298	6	2288
299	1	2039
300	2	2014
301	3	1166
302	4	1237
303	5	2769
304	6	1650
305	1	2271
306	2	2396
307	3	1776
308	4	1898
309	5	1786
310	6	1197
311	1	520
312	2	2876
313	3	2524
314	4	1027
315	5	1211
316	6	4723
317	1	3644
318	2	2274
319	3	1557
320	4	1296
321	5	1414
322	6	816
323	1	2250
324	2	2643
325	4	2348
326	5	1813
327	6	1171
328	1	1808
329	2	583
330	3	1461
331	4	2352
332	5	1959
333	6	1671
334	1	1606
335	2	1717
336	3	829
337	4	1585
338	5	2405
339	6	1576
340	1	1706
341	2	1710
342	3	1374
343	4	1218
344	5	721
345	6	1606
346	7	1992
347	1	1627
348	2	1532
349	3	1197
350	4	1823
351	3	217
352	4	217
353	5	969
354	6	1074
355	7	171
356	1	2194
357	2	2001
358	3	2103
359	4	1314
360	5	1519
361	6	979
362	7	48
363	1	995
364	2	1795
365	3	2160
366	4	1711
367	5	1460
368	6	1250
369	7	383
370	1	1698
371	2	573
372	3	1068
373	4	2340
374	5	2170
375	6	1683
376	7	225
377	1	1345
378	2	1705
379	3	1496
380	4	778
381	5	1925
382	6	2127
383	1	2129
384	2	1993
385	3	1288
386	4	1513
387	5	1120
388	6	826
389	1	2117
390	2	2002
391	3	2319
392	4	2340
393	5	1886
394	6	1108
395	1	646
396	2	1548
397	3	1842
398	4	1994
399	5	1700
400	6	848
401	7	221
402	1	1535
403	2	1118
404	3	635
405	4	1587
406	5	1334
407	6	181
408	7	181
409	1	670
410	2	1641
411	3	1414
412	4	1437
413	5	1385
414	6	879
415	1	1604
416	2	950
417	3	3431
418	4	4856
419	5	2709
420	6	1853
421	7	1436
422	1	5202
423	2	4900
424	3	4493
425	4	2978
426	5	2364
427	6	3075
428	1	1135
429	2	1669
430	3	2548
431	5	399
432	6	814
433	7	2685
434	1	2678
435	2	2706
436	3	2821
437	4	1549
438	5	2361
439	6	2101
440	1	3523
441	2	3634
442	3	3106
443	4	2347
444	5	3887
445	6	1243
446	7	75
447	1	1107
448	2	3102
449	3	4452
450	4	3232
451	5	1598
452	6	740
453	1	190
454	2	2062
455	3	3884
456	4	2352
457	5	3124
458	6	2975
459	7	1294
460	2	3131
461	3	2102
462	4	1576
463	5	1762
464	6	888
465	7	15
466	1	248
467	2	1593
468	3	1859
469	4	1713
470	5	1836
471	6	844
472	1	1625
473	2	1461
474	3	263
475	4	1861
476	5	3214
477	6	2246
478	1	2471
479	2	1739
480	3	1446
481	4	744
482	5	311
483	6	1953
484	1	2253
485	2	1831
486	3	1596
487	4	1437
488	5	1018
489	6	607
490	1	390
491	2	1696
492	3	1769
493	4	1945
494	5	1489
495	6	1081
496	1	1328
497	2	774
498	3	1084
499	4	2131
500	5	2848
501	6	1359
502	1	1731
503	2	1124
504	3	1611
505	4	698
506	5	1006
507	6	517
508	1	2005
509	2	2580
510	3	2389
511	4	1534
512	5	2102
513	6	1158
514	1	528
515	2	1739
516	3	1910
517	4	2180
518	5	1705
519	6	1203
520	1	1355
521	2	651
522	3	1905
523	4	2730
524	5	2115
525	6	1292
526	1	1570
527	2	781
528	3	600
529	4	1901
530	5	1855
531	6	1278
532	7	373
533	1	1776
534	2	2176
535	3	2030
536	4	893
537	5	775
538	6	2070
539	1	2527
540	2	2123
541	3	1608
542	4	1437
543	5	2248
544	6	764
545	2	1265
546	3	1871
547	4	2064
548	5	1863
549	6	1602
550	1	2590
551	2	1784
552	3	2013
553	4	1948
554	5	2000
555	6	1487
556	1	2054
557	2	1435
558	3	821
559	4	1797
560	5	1857
561	6	1419
562	7	1416
563	1	1456
564	2	1318
565	3	263
566	1	43
567	2	18
568	3	1491
569	4	1847
570	5	1508
571	6	1141
572	7	496
573	1	1326
574	2	1545
575	3	958
576	4	1862
577	5	1864
578	6	1500
579	1	1394
580	2	1223
581	3	2338
582	4	692
583	5	1245
584	6	2645
585	1	1661
586	2	1234
587	3	1547
588	4	1045
589	5	534
590	6	439
591	1	1919
592	2	1318
593	3	967
594	4	1179
595	5	971
596	6	1383
597	1	1098
598	2	1489
599	3	1604
600	4	1771
601	5	1643
602	6	1449
603	7	439
604	1	1370
605	2	333
606	3	1266
607	4	2015
608	5	2274
609	6	2307
610	1	1467
611	2	1898
612	3	1034
613	4	781
614	5	1530
615	6	2822
616	1	2377
617	2	1507
618	3	1674
619	4	1471
620	5	917
621	6	1628
622	1	2229
623	2	1804
624	3	1596
625	4	1468
626	5	1494
627	6	327
628	1	1042
629	2	2142
630	3	1968
631	4	1792
632	5	1589
633	6	902
634	1	1853
635	2	990
636	3	1740
637	4	1974
638	5	1457
639	6	771
640	7	489
641	1	1834
642	2	1360
643	3	765
644	4	628
645	7	1907
646	1	1749
647	2	1534
648	3	1225
649	4	1263
650	5	1068
651	6	772
652	1	2022
653	2	2617
654	3	2028
655	4	1368
656	5	1259
657	6	1545
658	7	479
659	1	686
660	2	1622
661	3	1462
662	4	1481
663	5	1307
664	6	1130
665	7	275
666	1	1153
667	2	814
668	3	1111
669	4	1860
670	5	2175
671	6	1707
672	1	1480
673	2	1390
674	3	808
675	4	529
676	5	1824
677	6	1899
678	1	1740
679	2	1321
680	3	1442
681	4	1752
682	5	616
683	6	1721
684	7	2673
685	1	2284
686	2	2079
687	2	536
688	3	1678
689	4	2065
690	5	1467
691	6	767
692	1	4044
693	2	3287
694	3	1611
695	4	1804
696	5	1762
697	6	242
698	1	1483
699	2	2286
700	3	1920
701	4	1190
702	5	1309
703	6	1361
704	1	1775
705	2	1019
706	3	2198
707	4	2219
708	5	1756
709	6	1866
710	1	2130
711	2	2673
712	3	382
713	4	870
714	5	2061
715	6	3299
716	1	2587
717	2	132
718	3	962
719	4	4783
720	5	3085
721	6	344
722	1	344
723	2	2444
724	3	2355
725	4	1597
726	5	1944
727	6	2274
728	7	486
729	1	2441
730	2	2308
731	3	1736
732	4	1341
733	5	1216
734	6	193
735	1	1438
736	2	1986
737	3	1901
738	4	1684
739	5	1312
740	6	1388
741	1	543
742	2	755
743	3	2293
744	4	2389
745	5	399
746	1	2064
747	2	2142
748	3	2161
749	4	1324
750	5	1672
751	6	2105
752	1	1758
753	2	1811
754	3	1342
755	4	1592
756	5	793
757	6	1028
758	1	2091
759	2	1692
760	3	1868
761	4	1432
762	5	1288
763	6	1636
764	1	245
765	2	1694
766	3	2322
767	4	2143
768	5	1869
769	6	1210
770	1	1442
771	2	1756
772	3	600
773	4	1217
774	5	2051
775	6	2131
776	1	1585
777	2	1308
778	3	1310
779	4	934
780	5	788
781	6	2294
782	1	2028
783	2	1677
784	3	1749
785	4	1505
786	5	1459
787	6	434
788	2	1151
789	3	2273
790	4	2490
791	5	1820
792	6	1593
793	1	1927
794	2	1153
795	3	560
796	4	2113
797	5	2151
798	6	1828
799	1	1586
800	2	1340
801	3	1977
802	4	878
803	5	1593
804	6	2761
805	1	2439
806	2	1447
807	3	935
808	4	1844
809	5	664
810	6	1399
811	1	1812
812	2	1175
813	3	1278
814	4	1857
815	5	7063
816	6	4391
817	1	6594
818	2	7226
819	3	4171
820	4	4786
821	5	5145
822	6	4182
823	1	796
824	2	3074
825	3	4072
826	4	2680
827	5	2638
828	6	2001
829	1	2891
830	2	1713
831	3	403
832	4	2226
833	5	3471
834	6	2436
835	1	2954
836	2	2673
837	3	2495
838	4	1937
839	5	607
840	6	2061
841	7	461
842	1	3303
843	2	3319
844	3	3997
845	4	2546
846	5	2534
847	6	1475
848	7	170
849	1	1530
850	2	3455
851	3	3498
852	4	601
853	7	3723
854	1	2892
855	2	2853
856	3	1968
857	4	367
858	5	3120
859	6	3928
860	1	4151
861	2	3877
862	3	3908
863	4	3714
864	5	2522
865	6	930
866	1	2663
867	2	4510
868	3	2939
869	4	2195
870	5	4712
871	6	2486
872	1	4395
873	2	3865
874	3	2715
875	5	539
876	7	539
877	3	987
878	4	3860
879	5	4831
880	6	3608
881	1	2054
882	2	1747
883	3	1578
884	4	1311
885	5	825
886	6	2301
887	7	624
888	1	2479
889	2	1481
890	3	1668
891	4	1726
892	5	1251
893	6	181
894	1	1273
895	2	2507
896	3	2596
897	4	1907
898	5	1408
899	6	1558
900	1	1299
901	2	948
902	3	2344
903	4	2462
904	5	2278
905	6	2276
906	7	407
907	1	1140
908	2	1525
909	3	833
910	4	1182
911	5	2275
912	6	2007
913	1	1969
914	2	1239
915	3	1391
916	4	1513
917	5	2212
918	6	2816
919	1	2142
920	2	1348
921	3	1833
922	4	998
923	5	971
924	6	2044
925	1	2024
926	2	1506
927	3	1396
928	4	1345
929	5	1116
930	6	275
931	1	1905
932	2	2876
933	3	2309
934	4	1824
935	5	1105
936	6	1475
937	1	888
938	2	1275
939	3	2727
940	4	2830
941	5	2302
942	6	2104
943	1	1833
944	2	3150
945	3	2667
946	4	2801
947	5	2133
948	6	2023
949	7	554
950	1	2054
951	2	731
952	3	1478
953	4	2707
954	5	1279
955	6	480
956	1	2166
957	2	1701
958	3	1771
959	4	1361
960	5	615
961	6	2110
962	1	3108
963	2	1778
964	3	1722
965	4	1577
966	5	1917
967	6	1857
968	1	691
969	2	2037
970	3	2175
971	4	1731
972	5	1341
973	6	1292
974	1	1634
975	2	770
976	3	1589
977	4	2044
978	5	2192
979	6	1864
980	1	1427
981	2	1454
982	3	701
983	4	982
984	5	2179
985	6	1925
986	4	355
987	7	1743
988	1	1631
989	2	1832
990	3	1249
991	4	381
992	5	1808
993	6	2012
994	1	1485
995	2	1307
996	3	1533
997	4	1826
998	5	953
999	6	2693
1000	1	2364
1001	2	1520
1002	3	1530
1003	4	2051
1004	5	696
1005	6	1003
1006	1	2017
1007	2	1465
1008	3	1903
1009	4	1521
1010	5	1611
1011	6	1576
1012	1	401
1013	2	1838
1014	3	2852
1015	4	2584
1016	5	2036
1017	6	1062
1018	1	1484
1019	2	861
1020	3	1056
1021	4	2094
1022	5	2520
1023	6	1969
1024	1	1676
1025	2	1423
1026	3	1122
1027	4	473
1028	5	1804
1029	6	2271
1030	2	1995
1031	3	1678
1032	4	1007
